nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000253	Robert Ellis	1888	1935	art_director,miscellaneous	tt0014083,tt0026454,tt0010965,tt0014515
nm0000254	Isabelle Adjani	1955	\N	actress,soundtrack,producer	tt0082933,tt0079641,tt0073114,tt0094828
nm0000255	Ben Affleck	1972	\N	producer,actor,writer	tt1024648,tt2267998,tt0840361,tt0119217
nm0000256	Jenny Agutter	1952	\N	actress,soundtrack	tt0848228,tt0074812,tt0067959,tt0082010
nm0000257	Alan Alda	1936	\N	actor,miscellaneous,soundtrack	tt0097123,tt7653254,tt0082405,tt0068098
nm0000258	Stephanie Zimbalist	1956	\N	actress,writer	tt0076993,tt0080402,tt0083470,tt2224219
nm0000259	Ginger Lynn	1962	\N	actress,director,writer	tt0395584,tt0134898,tt0087562,tt0210365
nm0000260	Joan Allen	1956	\N	actress,soundtrack,producer	tt0115988,tt0113987,tt0452608,tt3170832
nm0000261	Karen Allen	1951	\N	actress,soundtrack,director	tt0367882,tt0077975,tt0082971,tt0088172
nm0000262	Nancy Allen	1950	\N	actress,soundtrack	tt0093870,tt0080661,tt0107978,tt0100502
nm0000263	Kirstie Alley	1951	2022	actress,producer,writer	tt0097778,tt0084726,tt0114852,tt0157503
nm0000264	Pedro Almodóvar	1949	\N	writer,director,soundtrack	tt1189073,tt0101026,tt0287467,tt0095675
nm0000265	Robert Altman	1925	2006	director,producer,writer	tt0105151,tt0073440,tt0280707,tt0108122
nm0000266	Ursula Andress	1936	\N	actress,soundtrack	tt0061452,tt0082186,tt0060177,tt0055928
nm0000267	Julie Andrews	1935	\N	actress,soundtrack,writer	tt0062362,tt0084865,tt0058331,tt0059742
nm0000268	Ann-Margret	1941	\N	actress,soundtrack	tt0060646,tt0107050,tt0056891,tt0066892
nm0000269	Jean-Jacques Annaud	1943	\N	director,producer,writer	tt0215750,tt2909116,tt0091605,tt0120102
nm0000270	Gabrielle Anwar	1970	\N	actress,producer,soundtrack	tt0114660,tt0105323,tt0810788,tt0108333
nm0000271	Anne Archer	1947	\N	actress,producer,soundtrack	tt0108122,tt0160009,tt0105112,tt0093010
nm0000272	Fanny Ardant	1949	\N	actress,director,writer	tt0086551,tt0127536,tt0283832,tt0348853
nm0000273	Alan Arkin	1934	2023	actor,soundtrack,director	tt0099487,tt0449059,tt0104348,tt1024648
nm0000274	David Arquette	1971	\N	producer,actor,director	tt0120082,tt0271367,tt0151738,tt0134084
nm0000275	Rosanna Arquette	1959	\N	actress,producer,director	tt0088680,tt0089017,tt0110912,tt0190138
nm0000276	Sean Astin	1971	\N	actor,producer,director	tt0167260,tt0167261,tt0120737,tt0089218
nm0000277	Richard Attenborough	1923	2014	actor,producer,director	tt0119567,tt0057115,tt0083987,tt0107290
nm0000278	Pernilla August	1958	\N	actress,director,writer	tt0120915,tt0104350,tt0115164,tt0121765
nm0000279	Hank Azaria	1964	\N	actor,soundtrack,producer	tt0115685,tt1839481,tt0132347,tt0096697
nm0000280	Catherine Bach	1954	\N	actress,soundtrack	tt0119025,tt0072288,tt1414382,tt0078607
nm0000281	Scott Baio	1960	\N	actor,director,producer	tt0367279,tt0281680,tt0270846,tt0070992
nm0000282	Scott Bairstow	1970	\N	actor	tt0119925,tt0283084,tt0182587,tt0120512
nm0000283	Brenda Bakke	1963	\N	actress	tt0107144,tt0114608,tt0119488,tt0114781
nm0000284	Adam Baldwin	1962	\N	actor,soundtrack	tt0187393,tt0116629,tt0093058,tt0379786
nm0000285	Alec Baldwin	1958	\N	actor,producer,soundtrack	tt0104348,tt0318374,tt1230414,tt0407887
nm0000286	Stephen Baldwin	1966	\N	actor,producer,director	tt0114814,tt0115683,tt0158622,tt0486583
nm0000287	William Baldwin	1963	\N	actor,producer,stunts	tt0101393,tt0367089,tt0108162,tt0113010
nm0000288	Christian Bale	1974	\N	actor,producer,soundtrack	tt1800241,tt0372784,tt0468569,tt0144084
nm0000289	Ellen Barkin	1954	\N	actress,producer	tt0086856,tt0108330,tt0116277,tt0157503
nm0000290	John Barry	1933	2011	music_department,soundtrack,composer	tt0093428,tt0099348,tt0089755,tt0081534
nm0000291	Angela Bassett	1958	\N	actress,producer,director	tt1825683,tt0114558,tt0118884,tt9114286
nm0000292	Michelle Bauer	1958	\N	actress,miscellaneous,costume_department	tt0098652,tt0094998,tt0094734,tt0103213
nm0000293	Sean Bean	1959	\N	actor,producer,animation_department	tt1181791,tt0944947,tt0167261,tt0120737
nm0000294	Amanda Bearse	1958	\N	actress,director,producer	tt9731598,tt0089175,tt0092400,tt0247121
nm0000295	Kate Beckinsale	1973	\N	actress,producer,soundtrack	tt0338526,tt0401855,tt0320691,tt0452702
nm0000296	Robert Beltran	1953	\N	actor,soundtrack	tt0113987,tt0112178,tt0101516,tt0087799
nm0000297	Tom Berenger	1949	\N	actor,producer,writer	tt0091763,tt0097815,tt1375666,tt0085244
nm0000298	Candice Bergen	1946	\N	actress,producer,soundtrack	tt0094514,tt0212346,tt0901476,tt0256415
nm0000299	Michael Biehn	1956	\N	actor,producer,director	tt0117500,tt0096754,tt0088247,tt0090605
nm0000300	Juliette Binoche	1964	\N	actress,art_department,miscellaneous	tt1219827,tt0116209,tt1020773,tt2452254
nm0000301	Thora Birch	1982	\N	actress,producer,director	tt0105112,tt0107120,tt0162346,tt0169547
nm0000302	Jacqueline Bisset	1944	\N	actress,soundtrack,producer	tt0071877,tt0088322,tt0421054,tt0062765
nm0000303	Honor Blackman	1925	2020	actress,soundtrack	tt0058150,tt0243155,tt0057197,tt0054518
nm0000304	Linda Blair	1959	\N	actress,soundtrack,producer	tt0089964,tt0088044,tt0076009,tt0070047
nm0000305	Mel Blanc	1908	1989	actor,soundtrack,music_department	tt0077278,tt0078915,tt0094939,tt0096438
nm0000306	Brian Blessed	1936	\N	actor,soundtrack,director	tt0102798,tt0120915,tt0120855,tt0080745
nm0000307	Helena Bonham Carter	1966	\N	actress,soundtrack,director	tt0137523,tt0408236,tt1504320,tt1707386
nm0000308	Ernest Borgnine	1917	2012	actor,soundtrack,producer	tt0048356,tt0069113,tt0086662,tt0082340
nm0000309	David Bowie	1947	2016	music_artist,soundtrack,actor	tt0482571,tt0196229,tt0074851,tt0091369
nm0000310	Bruce Boxleitner	1950	\N	actor,soundtrack,producer	tt0105946,tt1104001,tt0084827,tt0871427
nm0000311	Annie Rosar	1888	1963	actress,soundtrack	tt0041552,tt0052996,tt0034396,tt0034800
nm0000312	Amy Brenneman	1964	\N	actress,producer,writer	tt0411061,tt0116287,tt0113277,tt0209069
nm0000313	Jeff Bridges	1949	\N	actor,soundtrack,producer	tt1263670,tt0088172,tt0118715,tt1403865
nm0000314	Charles Bronson	1921	2003	actor	tt0054047,tt0057115,tt0064116,tt0071402
nm0000315	Louise Brooks	1906	1985	actress,soundtrack	tt0018737,tt0021917,tt0021273,tt0017382
nm0000316	Mel Brooks	1926	\N	actor,writer,soundtrack	tt0395251,tt0071230,tt0082517,tt0094012
nm0000317	Clancy Brown	1959	\N	actor,soundtrack,producer	tt0111161,tt0120201,tt0409847,tt2279373
nm0000318	Tim Burton	1958	\N	producer,miscellaneous,director	tt1142977,tt0099487,tt0121164,tt0408236
nm0000319	Yancy Butler	1970	\N	actress,producer	tt1650554,tt1250777,tt0274298,tt0107076
nm0000320	Luis Buñuel	1900	1983	writer,director,actor	tt0075824,tt0056732,tt0068361,tt0061395
nm0000321	Gabriel Byrne	1950	\N	actor,producer,writer	tt0146675,tt0100150,tt0114814,tt7784604
nm0000322	Emmanuelle Béart	1963	\N	actress,soundtrack	tt0117060,tt0113947,tt0109731,tt0283832
nm0000323	Michael Caine	1933	\N	actor,producer,soundtrack	tt0124315,tt0482571,tt0468569,tt0258068
nm0000324	Barbara Carrera	1945	\N	actress,soundtrack	tt0076210,tt0085862,tt0086006,tt0084112
nm0000325	David Caruso	1956	\N	actor,producer	tt0099939,tt0228750,tt0261983,tt0083944
nm0000326	Kim Cattrall	1956	\N	actress,producer,soundtrack	tt0102975,tt1261945,tt1000774,tt0159206
nm0000327	Lacey Chabert	1982	\N	actress,producer,soundtrack	tt0377092,tt0120738,tt0454082,tt0277371
nm0000328	Richard Chamberlain	1934	\N	actor,soundtrack,producer	tt0072308,tt0073012,tt0076299,tt0085101
nm0000329	Jackie Chan	1954	\N	producer,actor,stunts	tt0266915,tt0089374,tt0127357,tt0120812
nm0000330	Stockard Channing	1944	\N	actress,soundtrack	tt0108149,tt0198021,tt0120791,tt0077631
nm0000331	Chevy Chase	1943	\N	actor,writer,soundtrack	tt0104850,tt0080487,tt0092086,tt0085995
nm0000332	Don Cheadle	1964	\N	actor,producer,soundtrack	tt0395169,tt1540133,tt0790770,tt0375679
nm0000333	Cher	1946	\N	music_artist,soundtrack,actress	tt0093565,tt0100140,tt0089560,tt1126591
nm0000334	Chow Yun-Fat	1955	\N	actor,writer,soundtrack	tt0473444,tt0120008,tt0190332,tt1098327
nm0000335	Glenn Close	1947	\N	actress,soundtrack,producer	tt2015381,tt0093010,tt0094947,tt3750872
nm0000336	James Coburn	1928	2002	actor,producer,director	tt0057115,tt0054047,tt0056923,tt0074695
nm0000337	Rachael Leigh Cook	1979	\N	actress,producer,writer	tt11100856,tt0331811,tt0160862,tt5659816
nm0000338	Francis Ford Coppola	1939	\N	producer,director,writer	tt0078788,tt0071360,tt0068646,tt0071562
nm0000339	Roger Corman	1926	\N	producer,director,actor	tt0099612,tt0091419,tt0061189,tt0102926
nm0000340	Cindy Crawford	1966	\N	actress,soundtrack,producer	tt0120577,tt0113010,tt1441109,tt0186549
nm0000341	Michael Crichton	1942	2008	writer,producer,director	tt0117998,tt0070909,tt0107290,tt0108757
nm0000342	James Cromwell	1940	\N	actor,producer,soundtrack	tt0117731,tt0120689,tt0119488,tt0144214
nm0000343	David Cronenberg	1943	\N	actor,director,writer	tt0120907,tt0094964,tt0115964,tt0091064
nm0000344	Denise Crosby	\N	\N	actress,producer	tt0098084,tt0104119,tt0120647,tt0097889
nm0000345	Billy Crystal	1948	\N	actor,writer,producer	tt0113097,tt0122933,tt0101587,tt0098635
nm0000346	Macaulay Culkin	1980	\N	actor,producer,director	tt0104431,tt0107034,tt0099785,tt0102492
nm0000347	Tim Curry	1946	\N	actor,soundtrack,producer	tt0112715,tt0088930,tt0073629,tt0117110
nm0000348	Tony Curtis	1925	2010	actor,producer,soundtrack	tt0054331,tt0051036,tt0066701,tt0053291
nm0000349	Joan Cusack	1962	\N	actress,soundtrack,writer	tt0119360,tt1659337,tt0096463,tt0119229
nm0000350	Beverly D'Angelo	1951	\N	actress,soundtrack,producer	tt0120434,tt0085995,tt0120586,tt0097958
nm0000351	Donna D'Errico	1968	\N	actress,director,producer	tt12861508,tt4270458,tt4459134,tt7235466
nm0000352	Vincent D'Onofrio	1959	\N	actor,producer,soundtrack	tt0209958,tt0119654,tt0109707,tt0093058
nm0000353	Willem Dafoe	1955	\N	actor,soundtrack,producer	tt5649144,tt0145487,tt7984734,tt6938828
nm0000354	Matt Damon	1970	\N	producer,actor,soundtrack	tt0119217,tt0134119,tt0407887,tt3659388
nm0000355	Anthony Daniels	1946	\N	actor,producer,writer	tt2488496,tt0080684,tt0076759,tt2527336
nm0000356	Sybil Danning	\N	\N	actress,producer,writer	tt0373883,tt0080421,tt0085672,tt0072281
nm0000357	Lolita Davidovich	1961	\N	actress	tt0110146,tt0092513,tt0096943,tt0329717
nm0000358	Daniel Day-Lewis	1957	\N	actor,music_department,soundtrack	tt0217505,tt0104691,tt0443272,tt0469494
nm0000359	Olivier De Funès	1949	\N	actor,writer,soundtrack	tt0060475,tt0064425,tt0065848,tt0250077
nm0000360	Rebecca De Mornay	1959	\N	actress,soundtrack,producer	tt0396269,tt0089941,tt0104389,tt0086200
nm0000361	Brian De Palma	1940	\N	director,writer,producer	tt0094226,tt0086984,tt0120832,tt0080661
nm0000362	Danny DeVito	1944	\N	actor,producer,director	tt0119488,tt0098621,tt0103776,tt0117008
nm0000363	Loren Dean	1969	\N	actor,soundtrack	tt7959026,tt0119177,tt0112384,tt2935510
nm0000364	Sandra Dee	1942	2005	actress,soundtrack	tt0056093,tt0052918,tt0052847,tt0054759
nm0000365	Julie Delpy	1969	\N	actress,writer,producer	tt0381681,tt0841044,tt0111507,tt0112471
nm0000366	Catherine Deneuve	1943	\N	actress,soundtrack,producer	tt0059646,tt0283832,tt0168629,tt0061395
nm0000367	Gérard Depardieu	1948	\N	actor,producer,soundtrack	tt0103594,tt0099334,tt0099699,tt0120744
nm0000368	Laura Dern	1967	\N	actress,producer,writer	tt0090756,tt0107290,tt2305051,tt7653254
nm0000369	Matt Dillon	1964	\N	actor,director,producer	tt0129387,tt4003440,tt0375679,tt0097240
nm0000370	Walt Disney	1901	1966	producer,actor,director	tt0058331,tt0034492,tt0029583,tt0048280
nm0000371	Ami Dolenz	1969	\N	actress,producer,miscellaneous	tt0056758,tt0092718,tt0110913,tt0107949
nm0000372	Amanda Donohoe	1962	\N	actress,producer	tt0095488,tt0119528,tt0090466,tt0110428
nm0000373	Michael Dorn	1952	\N	actor,director,soundtrack	tt0102975,tt0111280,tt0117731,tt0120844
nm0000374	Brad Dourif	1950	\N	actor	tt0095647,tt0099528,tt0167261,tt0073486
nm0000375	Robert Downey Jr.	1965	\N	actor,producer,soundtrack	tt0988045,tt0371746,tt1300854,tt4154796
nm0000376	Fran Drescher	1957	\N	writer,actress,producer	tt0837562,tt0098546,tt0106080,tt0118691
nm0000377	Richard Dreyfuss	1947	\N	actor,producer,soundtrack	tt0113862,tt0075860,tt0073195,tt0076095
nm0000378	Minnie Driver	1970	\N	actress,soundtrack,producer	tt5592146,tt0119217,tt0112679,tt0496343
nm0000379	Kirsten Dunst	1982	\N	actress,producer,soundtrack	tt0145487,tt0110367,tt1527186,tt0110148
nm0000380	Robert Duvall	1931	\N	actor,producer,soundtrack	tt0068646,tt0316356,tt0086423,tt0118632
nm0000381	Anthony Edwards	1962	\N	actor,producer,director	tt0088000,tt0443706,tt0108757,tt0092099
nm0000382	Atom Egoyan	1960	\N	director,writer,producer	tt0120255,tt2326612,tt0273435,tt1352824
nm0000383	Jennifer Ehle	1969	\N	actress	tt1790885,tt4919484,tt2392830,tt0112130
nm0000384	Danny Elfman	1953	\N	music_department,soundtrack,composer	tt0107688,tt0119654,tt0121164,tt0367594
nm0000385	Sam Elliott	1944	\N	actor,producer,soundtrack	tt0098206,tt0286716,tt1517451,tt5655222
nm0000386	Roland Emmerich	1955	\N	writer,producer,director	tt0116629,tt1628841,tt0319262,tt0120685
nm0000387	Robert Englund	1947	\N	actor,miscellaneous,soundtrack	tt0087800,tt0093629,tt0095742,tt0329101
nm0000388	R. Lee Ermey	1944	2018	actor,miscellaneous,producer	tt0095647,tt0324216,tt0114369,tt0093058
nm0000389	Emilio Estevez	1962	\N	actor,director,producer	tt3294746,tt0100994,tt1441912,tt0308055
nm0000390	Joe Eszterhas	1944	\N	writer,producer,miscellaneous	tt0114436,tt0118577,tt0103772,tt0108162
nm0000391	Rupert Everett	1959	\N	actor,soundtrack,producer	tt0109592,tt0122541,tt2404639,tt0119738
nm0000392	Morgan Fairchild	1950	\N	actress,soundtrack,producer	tt0108778,tt0084652,tt0081858,tt1754944
nm0000393	Peter Falk	1927	2011	actor,producer,soundtrack	tt1466074,tt0281322,tt0093779,tt0074937
nm0000394	Chris Farley	1964	1997	actor,soundtrack,stunts	tt0106598,tt0118708,tt0115697,tt0114694
nm0000395	Terry Farrell	1963	\N	actress,soundtrack	tt0174378,tt0106145,tt0104409,tt0090685
nm0000396	Farrah Fawcett	1947	2009	actress,producer,soundtrack	tt0082136,tt0079285,tt0091024,tt0074812
nm0000397	Corey Feldman	\N	\N	actor,producer,soundtrack	tt0092005,tt0108308,tt0093437,tt0089218
nm0000398	Sally Field	1946	\N	actress,producer,soundtrack	tt0109830,tt0098384,tt0443272,tt0076729
nm0000399	David Fincher	1962	\N	producer,director,writer	tt1285016,tt0114369,tt2267998,tt0443706
nm0000400	Linda Fiorentino	1958	\N	actress,soundtrack	tt0110308,tt0120655,tt0119654,tt0088680
nm0000401	Laurence Fishburne	1961	\N	actor,producer,director	tt0327056,tt0133093,tt0234215,tt1598778
nm0000402	Carrie Fisher	1956	2016	actress,miscellaneous,soundtrack	tt0086190,tt0076759,tt2527336,tt0080684
nm0000403	Bridget Fonda	1964	\N	actress,soundtrack	tt0120324,tt0107843,tt0105414,tt0139414
nm0000404	Jane Fonda	1937	\N	actress,producer,soundtrack	tt0077362,tt0062711,tt3312830,tt0067309
nm0000405	Michelle Forbes	1965	\N	actress	tt0844441,tt0107302,tt0116225,tt1951266
nm0000406	John Ford	1894	1973	director,producer,actor	tt0045061,tt0032551,tt0033729,tt0031971
nm0000407	Vivica A. Fox	1964	\N	actress,producer,director	tt1628841,tt0266697,tt0116629,tt0118688
nm0000408	Jonathan Frakes	1952	\N	actor,director,producer	tt0253754,tt0111280,tt0120844,tt0117731
nm0000409	Brendan Fraser	1968	\N	actor,producer,soundtrack	tt0120616,tt0375679,tt0209163,tt13833688
nm0000410	Stephen Fry	1957	\N	actor,writer,producer	tt0280707,tt0434409,tt0371724,tt0120514
nm0000411	Edward Furlong	1977	\N	actor,producer,soundtrack	tt0103064,tt0165710,tt0120586,tt0990407
nm0000412	Andy Garcia	1956	\N	actor,producer,soundtrack	tt0240772,tt0343996,tt0349903,tt0099674
nm0000413	Janeane Garofalo	1964	\N	actress,writer,producer	tt0243655,tt0382932,tt0117979,tt0132347
nm0000414	Teri Garr	1947	\N	actress,soundtrack,miscellaneous	tt0075860,tt0072431,tt0084805,tt0085970
nm0000415	Jami Gertz	1965	\N	actress,producer,executive	tt0093437,tt0117998,tt0320970,tt0088128
nm0000416	Terry Gilliam	1940	\N	writer,actor,animation_department	tt0081633,tt0088846,tt1054606,tt0071853
nm0000417	Crispin Glover	1964	\N	actor,soundtrack,producer	tt0118141,tt0091860,tt1898069,tt0310357
nm0000418	Danny Glover	1946	\N	actor,producer,director	tt1190080,tt0093409,tt0097733,tt0122151
nm0000419	Jean-Luc Godard	1930	2022	director,writer,editor	tt0056663,tt0059592,tt0058898,tt0057869
nm0000420	Valeria Golino	1965	\N	actress,director,producer	tt0107144,tt0102059,tt8613070,tt0095953
nm0000421	Cuba Gooding Jr.	1968	\N	actor,soundtrack,writer	tt0316465,tt0203019,tt0116695,tt0114069
nm0000422	John Goodman	1952	\N	actor,soundtrack,producer	tt1907668,tt0101410,tt1024648,tt1179933
nm0000423	Serena Grandi	1958	\N	actress	tt2358891,tt0104123,tt0089598,tt0089271
nm0000424	Hugh Grant	1960	\N	actor,soundtrack	tt0314331,tt0109831,tt0125439,tt0276751
nm0000425	Peter Greenaway	1942	\N	director,writer,editor	tt0446750,tt1702429,tt0092929,tt0097108
nm0000426	Jennifer Grey	1960	\N	actress,producer,soundtrack	tt0091042,tt0087985,tt2013293,tt0092890
nm0000427	Pam Grier	1949	\N	actress,soundtrack,writer	tt0071517,tt0228333,tt0119396,tt0069897
nm0000428	D.W. Griffith	1875	1948	director,writer,producer	tt0010484,tt0004972,tt0006864,tt0009968
nm0000429	Melanie Griffith	1957	\N	actress,producer	tt0117107,tt0096463,tt0086984,tt0091983
nm0000430	Steve Guttenberg	1958	\N	actor,producer,soundtrack	tt0098966,tt0087928,tt0091949,tt0094137
nm0000431	Taylor Hackford	1944	\N	producer,director,writer	tt0109642,tt0350258,tt0106469,tt0084434
nm0000432	Gene Hackman	1930	\N	actor,soundtrack,producer	tt0067116,tt0105695,tt0265666,tt0069113
nm0000433	Corey Haim	1971	2010	actor,producer,soundtrack	tt0090021,tt0095519,tt0093437,tt0091445
nm0000434	Mark Hamill	\N	\N	actor,soundtrack,producer	tt0086190,tt0080684,tt0076759,tt2527336
nm0000435	Daryl Hannah	1960	\N	actress,producer,soundtrack	tt0378194,tt0083658,tt0088161,tt0094291
nm0000436	Curtis Hanson	1945	2016	director,producer,writer	tt0388125,tt0185014,tt0119488,tt0104389
nm0000437	Woody Harrelson	1961	\N	actor,producer,soundtrack	tt0110632,tt2356777,tt0117318,tt1156398
nm0000438	Ed Harris	1950	\N	actor,producer,director	tt0183659,tt0120382,tt0112384,tt0800308
nm0000439	Neil Patrick Harris	1973	\N	actor,producer,soundtrack	tt0460649,tt2267998,tt4834206,tt0120201
nm0000440	Nina Hartley	1959	\N	actress,director,producer	tt0118749,tt0167019,tt1282224,tt0189990
nm0000441	Noah Hathaway	1971	\N	actor,miscellaneous,producer	tt0092115,tt0077215,tt0088323,tt0076984
nm0000442	Rutger Hauer	1944	2019	actor,producer,director	tt0401792,tt1640459,tt0083658,tt0091209
nm0000443	Goldie Hawn	1945	\N	actress,soundtrack,producer	tt0104070,tt0116313,tt0093693,tt0081375
nm0000444	Glenne Headly	1955	2017	actress	tt0113862,tt2229499,tt0099422,tt0095031
nm0000445	Dan Hedaya	1940	\N	actor,soundtrack	tt0086979,tt0112697,tt0166924,tt0114814
nm0000446	Mariel Hemingway	1961	\N	actress,producer,soundtrack	tt0079522,tt0088960,tt0094074,tt0159730
nm0000447	Marilu Henner	1952	\N	actress,miscellaneous,producer	tt0102250,tt0077089,tt0087507,tt0105017
nm0000448	Lance Henriksen	1940	\N	actor,producer,miscellaneous	tt0090605,tt0370263,tt0114214,tt0107076
nm0000449	Natasha Henstridge	1974	\N	actress,producer,soundtrack	tt0120841,tt0114508,tt0228333,tt0190138
nm0000450	Philip Seymour Hoffman	1967	2014	actor,producer,soundtrack	tt0181875,tt0292963,tt1560747,tt0379725
nm0000451	Gaby Hoffmann	1982	\N	actress,soundtrack,director	tt0116242,tt0098554,tt0097351,tt0114011
nm0000452	Lauren Holly	1963	\N	actress,producer,soundtrack	tt0109686,tt0103512,tt0106770,tt0207201
nm0000453	Ian Holm	1931	2020	actor,soundtrack,animation_department	tt0382932,tt0167260,tt0088846,tt0120737
nm0000454	Dennis Hopper	1936	2010	actor,director,writer	tt0064276,tt0090756,tt0111257,tt0114898
nm0000455	John Hughes	1950	2009	writer,producer,director	tt0088847,tt0093748,tt0098554,tt0090305
nm0000456	Holly Hunter	1958	\N	actress,producer,soundtrack	tt0092699,tt3606756,tt0107822,tt0328538
nm0000457	John Hurt	1940	2017	actor,soundtrack	tt0078748,tt0080678,tt0087803,tt0077928
nm0000458	William Hurt	1950	2022	actor,producer	tt0092699,tt0120738,tt0080360,tt0399146
nm0000459	Timothy Hutton	1960	\N	actor,producer,director	tt1103987,tt0343737,tt0081283,tt0115639
nm0000460	Jeremy Irons	1948	\N	actor,soundtrack,producer	tt0094964,tt2094766,tt0110357,tt2975590
nm0000461	Michael Ironside	1950	\N	actor,producer,writer	tt0081455,tt0092099,tt0100802,tt0120201
nm0000462	Kate Jackson	1948	\N	actress,producer,director	tt0085088,tt0084293,tt0073972,tt0059978
nm0000463	Famke Janssen	1964	\N	actress,writer,director	tt0376994,tt0113189,tt0120903,tt0185371
nm0000464	Jim Jarmusch	1953	\N	director,writer,actor	tt5247022,tt1714915,tt0412019,tt0088184
nm0000465	Ron Jeremy	1953	\N	actor,director,writer	tt0144117,tt0124819,tt0165710,tt0120577
nm0000466	Jean-Pierre Jeunet	1953	\N	director,writer,producer	tt0101700,tt0112682,tt0211915,tt0344510
nm0000467	Don Johnson	1949	\N	actor,producer,soundtrack	tt1853728,tt0072730,tt8946378,tt0086759
nm0000468	Lynn-Holly Johnson	1958	\N	actress,director	tt0082398,tt0077716,tt0081738,tt0088395
nm0000469	James Earl Jones	1931	\N	actor,soundtrack	tt6105098,tt3748528,tt0099810,tt0097351
nm0000470	Jeffrey Jones	1946	\N	actor,soundtrack,miscellaneous	tt0091042,tt0109707,tt0086879,tt0091225
nm0000471	Raul Julia	1940	1994	actor,soundtrack	tt0089424,tt0100404,tt0101272,tt0111301
nm0000472	Boris Karloff	1887	1969	actor,soundtrack	tt0026138,tt0024894,tt0023245,tt0023194
nm0000473	Diane Keaton	1946	\N	actress,producer,director	tt0337741,tt0075686,tt0082979,tt0356680
nm0000474	Michael Keaton	1951	\N	actor,miscellaneous,producer	tt2562232,tt4276820,tt1895587,tt0096895
nm0000475	Patsy Kensit	1968	\N	actress,soundtrack,composer	tt0079268,tt0071577,tt0097733,tt0090585
nm0000476	Sally Kirkland	1941	\N	actress,producer,miscellaneous	tt0070903,tt0092569,tt0102138,tt3216866
nm0000477	Mia Kirshner	1975	\N	actress	tt0387877,tt0109759,tt0115986,tt0277371
nm0000478	Tawny Kitaen	1961	2021	actress,producer	tt0086927,tt0087903,tt0090327,tt2797190
nm0000479	Walter Koenig	1936	\N	actor,writer,producer	tt0060028,tt0084726,tt0092007,tt0102975
nm0000480	Elias Koteas	1961	\N	actor,producer	tt0100758,tt0115964,tt0120863,tt0822854
nm0000481	Alice Krige	1954	\N	actress,producer,writer	tt1981115,tt9086228,tt0117731,tt0105428
nm0000482	Sylvia Kristel	1952	2012	actress,soundtrack,director	tt0078740,tt0081249,tt0077497,tt0071464
nm0000483	Christopher Lambert	1957	\N	actor,producer,writer	tt0106950,tt0120604,tt0113855,tt0091203
nm0000484	John Landis	1950	\N	producer,director,actor	tt0080455,tt0118747,tt0086491,tt0067716
nm0000485	Fritz Lang	1890	1976	writer,director,producer	tt0038057,tt0022100,tt0057345,tt0017136
nm0000486	Heather Langenkamp	1964	\N	actress,special_effects,make_up_department	tt0087800,tt13444912,tt0111686,tt0094490
nm0000487	Ang Lee	1954	\N	director,producer,writer	tt0107156,tt0454876,tt0190332,tt0808357
nm0000488	Brandon Lee	1965	1993	actor,miscellaneous	tt0109506,tt0105219,tt0099978,tt0102915
nm0000489	Christopher Lee	1922	2015	actor,soundtrack,miscellaneous	tt0120737,tt0070917,tt0167261,tt0121765
nm0000490	Spike Lee	1957	\N	director,producer,writer	tt0091939,tt0097216,tt0102175,tt0104797
nm0000491	John Leguizamo	1960	\N	actor,producer,writer	tt0120177,tt0203009,tt0162677,tt0117509
nm0000492	Jennifer Jason Leigh	1962	\N	actress,producer,soundtrack	tt0105414,tt0109642,tt3460252,tt0108122
nm0000493	Jack Lemmon	1925	2001	actor,soundtrack,producer	tt0053604,tt0053291,tt0104348,tt0107050
nm0000494	Robert Sean Leonard	1969	\N	actor,soundtrack	tt0412142,tt0106226,tt0107616,tt0097165
nm0000495	Téa Leoni	1966	\N	actress,producer,soundtrack	tt0218967,tt0120647,tt0112442,tt0163025
nm0000496	Juliette Lewis	1973	\N	actress,soundtrack,director	tt0101540,tt0110632,tt0116367,tt1322269
nm0000497	Jennifer Lien	1974	\N	actress,producer,script_department	tt0106100,tt0112178,tt0120586,tt0133189
nm0000498	Matthew Lillard	1970	\N	actor,soundtrack,producer	tt0331632,tt1033575,tt0267913,tt0133189
nm0000499	Bai Ling	\N	\N	actress,producer,writer	tt0119994,tt0405336,tt1121931,tt0109506
nm0000500	Richard Linklater	1960	\N	producer,director,writer	tt1065073,tt0243017,tt2209418,tt0405296
nm0000501	Ray Liotta	1954	2022	actor,producer,soundtrack	tt0365686,tt0099685,tt0091983,tt0272207
nm0000502	Christopher Lloyd	1938	\N	actor,soundtrack,producer	tt0106220,tt0101272,tt0096438,tt0088763
nm0000503	Emily Lloyd	1970	\N	actress	tt0120490,tt0094331,tt0105265,tt0310952
nm0000504	Amy Locane	1971	\N	actress,soundtrack	tt0274812,tt0103491,tt0099329,tt0105327
nm0000505	Nia Long	1970	\N	actress,producer,soundtrack	tt2083355,tt0208003,tt0181984,tt0168501
nm0000506	Julia Louis-Dreyfus	1961	\N	actress,producer,soundtrack	tt1759761,tt0462128,tt2390361,tt0098904
nm0000507	Rob Lowe	1964	\N	actor,producer,soundtrack	tt0090060,tt0086066,tt0105793,tt0145660
nm0000508	Carey Lowell	1961	\N	actress	tt0097742,tt0113627,tt0108160,tt0098844
